,date,subject,period,reg,behavior,receptor,duration,macro_bhv
289,2019-05-20,Karl,game,1,tum,[],68.0,resting
290,2019-05-20,Karl,game,1,sen,[],27.0,resting
291,2019-05-20,Karl,game,1,alim,[],27.0,feeding
292,2019-05-20,Karl,game,1,sen,[],23.0,resting
293,2019-05-20,Karl,game,1,tum,[],61.0,resting
294,2019-05-20,Karl,game,1,sen,[],3.0,resting
295,2019-05-20,Karl,game,1,tum,[],90.0,resting
296,2019-05-20,Karl,game,1,hur,[],3.0,grooming
297,2019-05-20,Karl,game,1,tum,[],20.0,resting
298,2019-05-20,Karl,game,1,ras,[],2.0,grooming
299,2019-05-20,Karl,game,1,tum,[],16.0,resting
300,2019-05-20,Karl,game,1,ras,[],4.0,grooming
301,2019-05-20,Karl,game,1,sen,[],113.0,resting
302,2019-05-20,Karl,game,2,sen,[],110.0,resting
303,2019-05-20,Karl,game,2,ras,[],3.0,grooming
304,2019-05-20,Karl,game,2,sen,[],34.0,resting
305,2019-05-20,Karl,game,2,tum,[],42.0,resting
306,2019-05-20,Karl,game,2,ras,[],3.0,grooming
307,2019-05-20,Karl,game,2,tum,[],117.0,resting
308,2019-05-20,Karl,game,2,ras,[],3.0,grooming
309,2019-05-20,Karl,game,2,tum,[],62.0,resting
310,2019-05-20,Karl,game,2,sen,[],226.0,resting
311,2019-05-22,Karl,game,1,tum,[],3.0,resting
312,2019-05-22,Karl,game,1,sen,[],202.0,resting
313,2019-05-22,Karl,game,1,tum,[],361.0,resting
314,2019-05-22,Karl,game,1,ras,[],2.0,grooming
315,2019-05-22,Karl,game,1,tum,[],32.0,resting
316,2019-05-22,Karl,game,2,tum,[],234.0,resting
317,2019-05-22,Karl,game,2,sen,[],366.0,resting
318,2019-05-23,Karl,game,1,sen,[],14.0,resting
319,2019-05-23,Karl,game,1,cam,[],11.0,moving
320,2019-05-23,Karl,game,1,sen,[],62.0,resting
321,2019-05-23,Karl,game,1,sen,[],104.0,resting
322,2019-05-23,Karl,game,1,cam,[],8.0,moving
323,2019-05-23,Karl,game,1,forr,[],7.0,feeding
324,2019-05-23,Karl,game,1,cam,[],15.0,moving
325,2019-05-23,Karl,game,1,tum,[],380.0,resting
326,2019-05-23,Karl,game,2,tum,[],144.0,resting
327,2019-05-23,Karl,game,2,cam,[],14.0,moving
328,2019-05-23,Karl,game,2,alim,[],23.0,feeding
329,2019-05-23,Karl,game,2,sen,[],380.0,resting
330,2019-05-23,Karl,game,2,tum,[],39.0,resting
331,2019-05-24,Karl,game,2,sen,[],360.0,resting
332,2019-05-24,Karl,game,2,pub,[],12.0,interacting with public
333,2019-05-24,Karl,game,2,sen,[],193.0,resting
334,2019-05-24,Karl,game,2,ras,[],6.0,grooming
335,2019-05-24,Karl,game,2,sen,[],29.0,resting
336,2019-05-27,Karl,game,1,tum,[],600.0,resting
337,2019-05-27,Karl,game,2,sen,[],600.0,resting
338,2019-05-28,Karl,game,1,sen,[],31.0,resting
339,2019-05-28,Karl,game,1,cam,[],38.0,moving
340,2019-05-28,Karl,game,1,sen,[],282.0,resting
341,2019-05-28,Karl,game,1,cam,[],19.0,moving
342,2019-05-28,Karl,game,1,tum,[],470.0,resting
343,2019-05-28,Karl,game,2,tum,[],600.0,resting
344,2019-05-29,Karl,game,1,tum,[],123.0,resting
345,2019-05-29,Karl,game,1,sen,[],190.0,resting
346,2019-05-29,Karl,game,1,ras,[],5.0,grooming
347,2019-05-29,Karl,game,1,sen,[],281.0,resting
348,2019-05-29,Karl,game,2,sen,[],124.0,resting
349,2019-05-29,Karl,game,2,tum,[],57.0,resting
350,2019-05-29,Karl,game,2,cam,[],14.0,moving
351,2019-05-29,Karl,game,2,sen,[],70.0,resting
352,2019-05-29,Karl,game,2,tum,[],257.0,resting
353,2019-05-29,Karl,game,2,sen,[],78.0,resting
354,2019-05-30,Karl,game,1,tum,[],65.0,resting
355,2019-05-30,Karl,game,1,cam,[],22.0,moving
356,2019-05-30,Karl,game,1,tum,[],99.0,resting
357,2019-05-30,Karl,game,1,ras,[],2.0,grooming
358,2019-05-30,Karl,game,1,tum,[],87.0,resting
359,2019-05-30,Karl,game,1,cam,[],10.0,moving
360,2019-05-30,Karl,game,1,tum,[],315.0,resting
361,2019-05-30,Karl,game,2,sen,[],18.0,resting
362,2019-05-30,Karl,game,2,cam,[],26.0,moving
363,2019-05-30,Karl,game,2,tum,[],58.0,resting
364,2019-05-30,Karl,game,2,cam,[],48.0,moving
365,2019-05-30,Karl,game,2,sen,[],25.0,resting
366,2019-05-30,Karl,game,2,cam,[],9.0,moving
367,2019-05-30,Karl,game,2,sen,[],96.0,resting
368,2019-05-30,Karl,game,2,cam,[],37.0,moving
369,2019-05-30,Karl,game,2,tum,[],225.0,resting
370,2019-05-31,Karl,game,1,sen,[],124.0,resting
371,2019-05-31,Karl,game,1,tum,[],219.0,resting
372,2019-05-31,Karl,game,1,sen,[],135.0,resting
373,2019-05-31,Karl,game,1,tum,[],122.0,resting
374,2019-05-31,Karl,game,2,tum,[],495.0,resting
375,2019-05-31,Karl,game,2,ras,[],2.0,grooming
376,2019-05-31,Karl,game,2,tum,[],103.0,resting
377,2019-06-06,Karl,game,1,tum,[],600.0,resting
378,2019-06-06,Karl,game,2,sen,[],600.0,resting
379,2019-06-07,Karl,game,1,sen,[],81.0,resting
380,2019-06-07,Karl,game,1,tum,[],170.0,resting
381,2019-06-07,Karl,game,1,sen,[],83.0,resting
382,2019-06-07,Karl,game,1,tum,[],266.0,resting
383,2019-06-07,Karl,game,2,cam,[],26.0,moving
384,2019-06-07,Karl,game,2,forr,[],18.0,feeding
385,2019-06-07,Karl,game,2,alim,[],8.0,feeding
386,2019-06-07,Karl,game,2,aprox,['Hadia'],5.0,social
387,2019-06-07,Karl,game,2,jun,['Hadia'],11.0,social
388,2019-06-07,Karl,game,2,alim,[],95.0,feeding
389,2019-06-07,Karl,game,2,cam,[],92.0,moving
390,2019-06-07,Karl,game,2,sen,[],410.0,resting
391,2019-06-10,Karl,game,1,tum,[],53.0,resting
392,2019-06-10,Karl,game,1,cam,[],20.0,moving
393,2019-06-10,Karl,game,1,tum,[],298.0,resting
394,2019-06-10,Karl,game,1,cam,[],18.0,moving
395,2019-06-10,Karl,game,1,tum,[],211.0,resting
396,2019-06-10,Karl,game,2,tum,[],320.0,resting
397,2019-06-10,Karl,game,2,sen,[],280.0,resting
398,2019-06-13,Karl,game,1,tum,[],75.0,resting
399,2019-06-13,Karl,game,1,cam,[],3.0,moving
400,2019-06-13,Karl,game,1,sen,[],20.0,resting
401,2019-06-13,Karl,game,1,cam,[],5.0,moving
402,2019-06-13,Karl,game,1,tum,[],47.0,resting
403,2019-06-13,Karl,game,1,cam,[],3.0,moving
404,2019-06-13,Karl,game,1,tre,[],16.0,moving
405,2019-06-13,Karl,game,1,sen,[],324.0,resting
406,2019-06-13,Karl,game,1,groo,[],27.0,grooming
407,2019-06-13,Karl,game,1,sen,[],55.0,resting
408,2019-06-13,Karl,game,1,groo,[],3.0,grooming
409,2019-06-13,Karl,game,1,sen,[],12.0,resting
410,2019-06-13,Karl,game,1,groo,[],3.0,grooming
411,2019-06-13,Karl,game,1,sen,[],7.0,resting
412,2019-06-13,Karl,game,2,tum,[],600.0,resting
413,2019-06-14,Karl,game,1,sen,[],372.0,resting
414,2019-06-14,Karl,game,1,cam,[],185.0,moving
415,2019-06-14,Karl,game,1,forr,[],32.0,feeding
416,2019-06-14,Karl,game,1,cam,[],25.0,moving
417,2019-06-14,Karl,game,1,alim,[],136.0,feeding
418,2019-06-14,Karl,game,2,sen,[],600.0,resting
419,2019-06-17,Karl,game,1,tum,[],416.0,resting
420,2019-06-17,Karl,game,1,sen,[],67.0,resting
421,2019-06-17,Karl,game,1,groo,[],4.0,grooming
422,2019-06-17,Karl,game,1,tum,[],35.0,resting
423,2019-06-17,Karl,game,1,cam,[],15.0,moving
424,2019-06-17,Karl,game,1,sen,[],63.0,resting
425,2019-06-17,Karl,game,1,tum,[],600.0,resting
426,2019-06-17,Karl,game,2,tum,[],281.0,resting
427,2019-06-17,Karl,game,2,sen,[],6.0,resting
428,2019-06-17,Karl,game,2,cam,[],6.0,moving
429,2019-06-17,Karl,game,2,forr,[],15.0,feeding
430,2019-06-17,Karl,game,2,alim,[],50.0,feeding
431,2019-06-17,Karl,game,2,cam,[],45.0,moving
432,2019-06-17,Karl,game,2,sen,[],163.0,resting
433,2019-06-17,Karl,game,2,cam,[],24.0,moving
434,2019-06-26,Karl,postgame,1,tum,[],3.0,resting
435,2019-06-26,Karl,postgame,1,cam,[],17.0,moving
436,2019-06-26,Karl,postgame,1,tum,[],2.0,resting
437,2019-06-26,Karl,postgame,1,ras,[],11.0,grooming
438,2019-06-26,Karl,postgame,1,tum,[],567.0,resting
439,2019-06-26,Karl,postgame,2,tum,[],600.0,resting
440,2019-06-26,Karl,postgame,1,tum,[],485.0,resting
441,2019-06-26,Karl,postgame,1,solj,['Hadia'],5.0,social
442,2019-06-26,Karl,postgame,1,tum,[],110.0,resting
443,2019-06-26,Karl,postgame,2,tum,[],600.0,resting
