,date,reg,subject,period,macro_bhv,freq
485,2019-05-23,1,Storma,game,Social-Ludic,1
486,2019-05-23,2,Hadia,game,Agonistic,5
487,2019-05-23,2,Hadia,game,Individual,8
488,2019-05-23,2,Hadia,game,Ludic,8
489,2019-05-23,2,Hadia,game,Social,5
490,2019-05-23,2,Hadia,game,Social-Ludic,1
491,2019-05-23,2,Jawie,game,Individual,13
492,2019-05-23,2,Jawie,game,Social,5
493,2019-05-23,2,Karl,game,Individual,5
494,2019-05-23,2,Locky,game,Individual,11
495,2019-05-23,2,Locky,game,Social,5
496,2019-05-23,2,Popo,game,Individual,15
497,2019-05-23,2,Popo,game,Ludic,10
498,2019-05-23,2,Popo,game,Social,3
499,2019-05-23,2,Popo,game,Social-Ludic,4
500,2019-05-23,2,Storma,game,Individual,16
501,2019-05-23,2,Storma,game,Social,9
502,2019-05-23,2,Storma,game,Social-Ludic,1
503,2019-05-24,2,Hadia,game,Individual,6
504,2019-05-24,2,Hadia,game,Ludic,4
505,2019-05-24,2,Hadia,game,Social,6
506,2019-05-24,2,Jawie,game,Agonistic,2
507,2019-05-24,2,Jawie,game,Individual,14
508,2019-05-24,2,Jawie,game,Social,6
509,2019-05-24,2,Karl,game,Individual,4
510,2019-05-24,2,Karl,game,Public,1
511,2019-05-24,2,Locky,game,Individual,2
512,2019-05-24,2,Locky,game,Social,2
513,2019-05-24,2,Popo,game,Social,1
514,2019-05-24,2,Storma,game,Individual,1
515,2019-05-27,1,Hadia,game,Individual,9
516,2019-05-27,1,Jawie,game,Individual,21
517,2019-05-27,1,Jawie,game,Social,4
518,2019-05-27,1,Karl,game,Individual,1
519,2019-05-27,1,Locky,game,Individual,12
520,2019-05-27,1,Locky,game,Social,5
521,2019-05-27,1,Popo,game,Individual,5
522,2019-05-27,1,Popo,game,Social,4
523,2019-05-27,1,Storma,game,Individual,9
524,2019-05-27,1,Storma,game,Ludic,1
525,2019-05-27,1,Storma,game,Social,16
526,2019-05-27,2,Hadia,game,Agonistic,8
527,2019-05-27,2,Hadia,game,Individual,6
528,2019-05-27,2,Hadia,game,Ludic,5
529,2019-05-27,2,Hadia,game,Social,11
530,2019-05-27,2,Hadia,game,Social-Ludic,1
531,2019-05-27,2,Jawie,game,Individual,5
532,2019-05-27,2,Karl,game,Individual,1
533,2019-05-27,2,Locky,game,Agonistic,2
534,2019-05-27,2,Locky,game,Individual,7
535,2019-05-27,2,Locky,game,Ludic,4
536,2019-05-27,2,Locky,game,Social,2
537,2019-05-27,2,Popo,game,Individual,19
538,2019-05-27,2,Popo,game,Ludic,7
539,2019-05-27,2,Popo,game,Social,3
540,2019-05-27,2,Popo,game,Social-Ludic,2
541,2019-05-27,2,Storma,game,Individual,29
542,2019-05-27,2,Storma,game,Ludic,1
543,2019-05-27,2,Storma,game,Public,2
544,2019-05-27,2,Storma,game,Social,3
545,2019-05-28,1,Hadia,game,Individual,4
546,2019-05-28,1,Hadia,game,Social,12
547,2019-05-28,1,Jawie,game,Individual,9
548,2019-05-28,1,Jawie,game,Ludic,1
549,2019-05-28,1,Karl,game,Individual,5
550,2019-05-28,1,Locky,game,Individual,20
551,2019-05-28,1,Popo,game,Individual,13
552,2019-05-28,1,Popo,game,Ludic,6
553,2019-05-28,1,Popo,game,Social,3
554,2019-05-28,1,Popo,game,Social-Ludic,2
