,date,subject,period,reg,behavior,receptor,duration,bhv_category,macro_bhv,rel_duration
280,2019-05-07,Karl,pregame,2,sen,[],52.0,resting,Individual,0.08666666666666667
281,2019-05-07,Karl,pregame,2,groo,[],8.0,grooming,Individual,0.013333333333333334
282,2019-05-07,Karl,pregame,2,sen,[],89.0,resting,Individual,0.14833333333333334
283,2019-05-07,Karl,pregame,2,con,['Gibon'],24.0,agonistic,Agonistic,0.04
284,2019-05-07,Karl,pregame,2,sen,[],19.0,resting,Individual,0.03166666666666667
285,2019-05-07,Karl,pregame,2,cam,[],9.0,moving,Individual,0.015
286,2019-05-07,Karl,pregame,2,tum,[],399.0,resting,Individual,0.665
287,2019-05-20,Karl,game,1,tum,[],75.0,resting,Individual,0.1388888888888889
288,2019-05-20,Karl,game,1,ras,[],8.0,grooming,Individual,0.014814814814814815
289,2019-05-20,Karl,game,1,tum,[],68.0,resting,Individual,0.1259259259259259
290,2019-05-20,Karl,game,1,sen,[],27.0,resting,Individual,0.05
291,2019-05-20,Karl,game,1,alim,[],27.0,feeding,Individual,0.05
292,2019-05-20,Karl,game,1,sen,[],23.0,resting,Individual,0.04259259259259259
293,2019-05-20,Karl,game,1,tum,[],61.0,resting,Individual,0.11296296296296296
294,2019-05-20,Karl,game,1,sen,[],3.0,resting,Individual,0.005555555555555556
295,2019-05-20,Karl,game,1,tum,[],90.0,resting,Individual,0.16666666666666666
296,2019-05-20,Karl,game,1,hur,[],3.0,grooming,Individual,0.005555555555555556
297,2019-05-20,Karl,game,1,tum,[],20.0,resting,Individual,0.037037037037037035
298,2019-05-20,Karl,game,1,ras,[],2.0,grooming,Individual,0.003703703703703704
299,2019-05-20,Karl,game,1,tum,[],16.0,resting,Individual,0.02962962962962963
300,2019-05-20,Karl,game,1,ras,[],4.0,grooming,Individual,0.007407407407407408
301,2019-05-20,Karl,game,1,sen,[],113.0,resting,Individual,0.20925925925925926
302,2019-05-20,Karl,game,2,sen,[],110.0,resting,Individual,0.18333333333333332
303,2019-05-20,Karl,game,2,ras,[],3.0,grooming,Individual,0.005
304,2019-05-20,Karl,game,2,sen,[],34.0,resting,Individual,0.056666666666666664
305,2019-05-20,Karl,game,2,tum,[],42.0,resting,Individual,0.07
306,2019-05-20,Karl,game,2,ras,[],3.0,grooming,Individual,0.005
307,2019-05-20,Karl,game,2,tum,[],117.0,resting,Individual,0.195
308,2019-05-20,Karl,game,2,ras,[],3.0,grooming,Individual,0.005
